TABLE:  Pier Forces;;;;;;;;;
Story;Pier;Load Case/Combo;Location;P;V2;V3;T;M2;M3
;;;;tonf;tonf;tonf;tonf-m;tonf-m;tonf-m
Story12;7B;SU07;Bottom;-8.962580064;-1.069292668;-0.000108697;-0.00032549;-0.000327123;-0.63248918
Story12;7B;SU08 Max;Top;-5.304451377;1.30062883;0.01127803;0.001681568;0.000484016;1.247785444
Story12;7B;SU08 Max;Bottom;-7.952788261;1.279920133;0.01314738;0.00382568;0.012401183;2.539204784
Story12;7B;SU08 Min;Top;-5.726546465;-3.384957484;-0.011432823;-0.002134705;-0.000459548;0.237770446
Story12;7B;SU08 Min;Bottom;-9.972371867;-3.418505469;-0.013364774;-0.004476661;-0.01305543;-3.804183143
Story12;7B;SU09 Max;Top;-4.838273517;6.46366724;0.003480531;0.000815921;0.000160276;2.363328678
Story12;7B;SU09 Max;Bottom;-5.721936757;6.457900044;0.004052185;0.001378745;0.00369073;9.517154278
Story12;7B;SU09 Min;Top;-6.192724325;-8.547995895;-0.003635324;-0.001269058;-0.000135808;-0.877772788
Story12;7B;SU09 Min;Bottom;-12.20322337;-8.59648538;-0.004269579;-0.002029726;-0.004344976;-10.78213264
Story12;J4;SU01;Top;-15.57926475;-2.700739552;0.004990989;-0.00781647;-0.000719432;2.43075712
Story12;J4;SU01;Bottom;-16.86253913;-2.667759495;-0.012096169;0.016799504;-0.007657358;0.013706986
Story12;J4;SU02;Top;-20.91453487;-3.639842511;0.006466185;-0.009985017;-0.000929094;3.376566855
Story12;J4;SU02;Bottom;-20.93779889;-3.598962926;-0.014885642;0.020577355;-0.009407091;0.112468131
Story12;J4;SU03;Top;-14.22096758;-2.489460685;0.004504656;-0.007038827;-0.000677265;2.336477203
Story12;J4;SU03;Bottom;-15.21011218;-2.459588729;-0.010719468;0.014859603;-0.00676038;0.051738881
Story12;J4;SU04;Top;-18.18084324;-3.163450457;0.005672174;-0.008792798;-0.000819032;2.921314124
Story12;J4;SU04;Bottom;-18.59487935;-3.127112093;-0.013232752;0.018314597;-0.008363803;0.079384731
Story12;J4;SU05 Max;Top;-16.07335335;1.163563104;0.026067593;-0.00158243;0.017969029;9.364488367
Story12;J4;SU05 Max;Bottom;-13.96506694;1.204168392;0.004274366;0.021931216;-0.001554266;3.216903746
