TABLE:  Pier Section Properties;;;;;;;;;;;;;;;
Story;Pier;Axis Angle;# Area Objects;# Line Objects;Width Bottom;Thickness Bottom;Width Top;Thickness Top;Material;CG Bottom X;CG Bottom Y;CG Bottom Z;CG Top X;CG Top Y;CG Top Z
;;deg;;;m;m;m;m;;m;m;m;m;m;m
Story7;K1;0;42;0;5.585;0.12;5.585;0.12;H280;2.7925;6.79;14.28;2.7925;6.79;16.66
Story7;1A;90;66;0;7.74;0.15;7.74;0.15;H280;0;6.79;14.28;0;6.79;16.66
Story7;K2;0;42;0;5.585;0.12;5.585;0.12;H280;38.6275;6.79;14.28;38.6275;6.79;16.66
Story7;E4;0;9;0;0.945;0.15;0.945;0.15;H280;30.5925;0.555;14.28;30.5925;0.555;16.66
Story7;E3;0;9;0;0.945;0.15;0.945;0.15;H280;9.8825;0.555;14.28;9.8825;0.555;16.66
Story7;E2;0;18;0;1.89;0.15;1.89;0.15;H280;31.065;13.025;14.28;31.065;13.025;16.66
Story7;E1;0;21;0;1.95;0.15;1.95;0.15;H280;10.385;13.025;14.28;10.385;13.025;16.66
Story7;L2;0;42;0;5.525;0.12;5.525;0.12;H280;23.5325;6.79;14.28;23.5325;6.79;16.66
Story7;L1;0;42;0;5.525;0.12;5.525;0.12;H280;17.8875;6.79;14.28;17.8875;6.79;16.66
Story6;1B;90;66;0;7.74;0.15;7.74;0.15;H280;41.42;6.79;11.9;41.42;6.79;14.28
Story6;I2;0;30;0;3.625;0.12;3.625;0.12;H280;33.9625;8.205;11.9;33.9625;8.205;14.28
Story6;5B;90;27;0;2.83;0.12;2.83;0.12;H280;35.835;6.79;11.9;35.835;6.79;14.28
Story6;I4;0;33;0;3.625;0.12;3.625;0.12;H280;33.9625;5.375;11.9;33.9625;5.375;14.28
Story6;7D;90;39;0;4.82;0.12;4.82;0.12;H280;31.065;2.965;11.9;31.065;2.965;14.28
Story6;7B;90;39;0;4.82;0.12;4.82;0.12;H280;31.065;10.615;11.9;31.065;10.615;14.28
Story6;J4;0;27;0;3.625;0.12;3.625;0.12;H280;28.1675;5.375;11.9;28.1675;5.375;14.28
Story6;J2;0;27;0;3.625;0.12;3.625;0.12;H280;28.1675;8.205;11.9;28.1675;8.205;14.28
Story6;8B;90;24;0;2.83;0.12;2.83;0.12;H280;26.295;6.79;11.9;26.295;6.79;14.28
Story6;10;90;66;0;7.74;0.15;7.74;0.15;H280;20.71;6.79;11.9;20.71;6.79;14.28
Story6;J1;0;30;0;3.625;0.12;3.625;0.12;H280;13.2525;8.205;11.9;13.2525;8.205;14.28
Story6;8A;90;27;0;2.83;0.12;2.83;0.12;H280;15.125;6.79;11.9;15.125;6.79;14.28
Story6;J3;0;33;0;3.625;0.12;3.625;0.12;H280;13.2525;5.375;11.9;13.2525;5.375;14.28
Story6;7C;90;39;0;4.82;0.12;4.82;0.12;H280;10.355;2.965;11.9;10.355;2.965;14.28
Story6;7A;90;42;0;4.82;0.12;4.82;0.12;H280;10.355;10.615;11.9;10.355;10.615;14.28
Story6;I1;0;27;0;3.625;0.12;3.625;0.12;H280;7.4575;8.205;11.9;7.4575;8.205;14.28
